brand_name,product_name,price_usd,product_description,ingredients,approval_rating,review_count
VT,VT - Reedle Shot 100,US$ 29.18,"This ampoule is packed with various skin-soothers like cica extract, madecassoside and propolis extract to offer anti-inflammatory benefits. Hyaluronic acid and macadamia seed oil amp up skin’s moisture levels for a plump appearance. Thanks to the small molecular size of its active ingredients, the formula penetrates deep into the skin’s dermal layer for intense nourishment.","Water, Dipropylene Glycol, Glycerin, Niacinamide, Butylene Glycol, Macadamia Ternifolia Seed Oil, 1,2-Hexanediol, Ethylhexyl Palmitate, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyisobutene, Silica, Glycereth-26, Ethylhexylglycerin, Caprylyl Glycol, Adenosine, Sodium Polyacrylate, Sodium Hyaluronate, Centella Asiatica Extract, Caprylyl/Capryl Glucoside, Sorbitan Oleate, Xanthan Gum, Propolis Extract, Asiaticoside, Madecassoside, Madecassic Acid, Asiatic Acid, Glycine, Serine, Glutamic Acid, Aspartic Acid, Leucine, Alanine, Lysine, Arginine, Tyrosine, Phenylalanine, Threonine, Proline, Valine, Isoleucine, Histidine, Methionine, Cysteine",97.20%,"3,148"
Anua,Anua - 7 Rice Ceramide Hydrating Barrier Serum,US$ 15.19,"This serum is enriched with rice bran water for brightening and clarifying skin, honey extract for strengthening the skin barrier as well as alpha-arbutin for fading dark spots and hyperpigmentation. The powerful serum is a whiz at rejuvenating dull, tired or lackluster skin. The fragrance-free serum is dermatologically tested to be suitable for all skin types.","Oryza Sativa (Rice) Bran Water, 1,2-Hexanediol, Oryza Sativa (Rice) Extract, Dipropylene Glycol , Glycerin, Methylpropanediol , Butylene Glycol, Methyl Gluceth-10 , Niacinamide , Water, Hydroxyethyl Urea, Glycerin, Water, Caprylic/Capric Triglyceride, Hydrogenated Lecithin, Ceramide NP, Panthenol, Water, Water, Polyquatemium-51, 1,2-Hexanediol , Water, 1,2-Hexanediol, Sodium Hyaluronate, Ethylhexylglycerin, Tocopherol, Water, Butylene Glycol, 1,2-Hexanediol, Corchorus Olitorius Leaf Extract , Nelumbo Nucifera Root Extract , Hibiscus Esculentus Fruit Extract , Dioscorea Japonica Root Extract, Angelica Keiskei Extract, 1,2-Hexanediol, Pentylene Glycol, Water, Glycerin, 1,2-Hexanediol, Beta-Glucan, Sodium Polyacrylate, Water, Carbomer, Ethylhexylglycerin, Tocopherol, Adenosine, Allantoin, Sodium Phytate, Xanthan Gum, Alpha-Arbutin, Water, Butylene Glycol, 1,2-Hexanediol, Oryza Sativa (Rice) Extract, Water, Butylene Glycol, 1,2-Hexanediol, Dipropylene Glycol, Oryza Sativa (Rice) Extract, Hydrolyzed Rice Protein, Oryza Sativa (Rice) Seed Protein, Ceramide NP, Water, Butylene Glycol, 1,2-Hexanediol, Defatted Rice Bran Extract, Arbutin, Water, Butylene Glycol, 1,2-Hexanediol , Honey Extract, Water, Butylene Glycol , 1,2-Hexanediol , Hyaluronic Acid, Ethylhexylglycerin, Hydrolyzed Hyaluronic Acid , Sodium Hyaluronate, Zinc Stearate, Oryza Sativa (Rice) Bran, Defatted Rice Bran",95.70%,"1,272"
TIRTIR,TIRTIR - Collagen Lifting Eye Cream,US$ 16.80,"TIRTIR Collagen Firming Eye Cream features a potent 10,000 ppm plant-based collagen complex. The formula includes five peptides to enhance skin elasticity, while niacinamide and adenosine work to reduce the appearance of fine lines. This product has completed skin irritation testing.","Water, Glycerin, Butylene Glycol, 1,2-Hexanediol, Caprylic/Capric Triglyceride, Dipropylene Glycol, Hydrogenated Poly(C6-14 Olefin), Niacinamide, Methyl Trimethicone, C12-16 Alcohols, Persea Gratissima (Avocado) Oil, Chlorella Vulgaris Extract, Collagen, Hydrolyzed Corn Starch, Leuconostoc/Radish Root Ferment Filtrate, Theobroma Cacao (Cocoa) Seed Extract, Rosmarinus Officinalis (Rosemary) Leaf Water, Aspalathus Linearis Leaf Extract, Hibiscus Sabdariffa Flower Extract, Caprylic/Capric/Myristic/Stearic Triglyceride, Squalane, Palmitic Acid, Hydrogenated Lecithin, Glucose, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyacetophenone, Polyisobutene, Fructooligosaccharides, Fructose, Glyceryl Stearate, Panthenol, Pentaerythrityl Distearate, Sodium Polyacrylate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Adenosine, Sodium Phytate, Caprylyl/Capryl Glucoside, Sorbitan Oleate, Sucrose, Dextrin, Ascorbic Acid Polypeptide, Methylpropanediol, Tocopherol, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Palmitoyl Tripeptide-5, Polysorbate 20, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Cetearyl Alcohol, Stearyl Alcohol, Cetyl Alcohol, Xanthan Gum, Myristyl Alcohol, Lauryl Alcohol, Carbomer, Fragrance(Parfum)",96.20%,921
SKIN 1004,SKIN 1004 - Madagascar Centella Tone Brightening Capsule Ampoule Mini,US$ 6.50,"Restore radiance in skin with this multifunctional toner offering soothing and brightening effects. It contains MadeWhite™ (made of centella asiatica and niacinamide) to improve skin elasticity and radiance. The formula also contains gentle exfoliants, like papaya and apple extracts, to get rid of dead skin cells for smooth skin.","Water, Butylene Glycol, Niacinamide, Glycerin, Tranexamic Acid, 1,2-Hexanediol, Betaine, Centella Asiatica Extract, Zea Mays (Corn) Starch, Xanthan Gum, Microcrystalline Cellulose, Mannitol, Panthenol, Pentylene Glycol, Ethylhexylglycerin, Hydroxyethylcellulose, Madecassoside, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, Hydrogenated Lecithin, Xylitylglucoside, Anhydroxylitol, Xylitol, Glucose, 3-O-Ethyl Ascorbic Acid, Lactobacillus Ferment",98.10%,"1,289"
SKIN 1004,SKIN 1004 - Madagascar Centella Probio-Cica Intensive Ampoule Jumbo,US$ 18.00,"Nourishing ampoule contains a high concentration of fermented cica extract to deliver intense moisture and strengthen the skin barrier. Panthenol, betaine and allantoin in the formula provide plumping touches for smooth and hydrated skin. Suitable for sensitive skin. This product is jumbo-sized.","Centella Asiatica Extract, Butylene Glycol, Glycerin, Water, Propanediol, Caprylic/Capric Triglyceride, Niacinamide, Lactobacillus/Centella Asiatica Extract Ferment Filtrate, 1,2-Hexanediol, Dipropylene Glycol, Polyglyceryl-3 Distearate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C14-22 Alcohols, Arginine, Hydrogenated Lecithin, Betaine, Allantoin, Panthenol, Hydroxystearic Acid, Ethylhexylglycerin, Hydroxyethy Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glyceryl Stearate Citrate, Sodium Polyacrylate, Adenosine, C12-20 Alkyl Glucoside, Cetearyl Alcohol, Xanthan Gum, Macadamia Ternifolia Seed Oil, Sodium Phytate, Sodium Hyaluronate, Stearic Acid, Ceramide NP, Glyceryl Acrylate/Acrylic Acid Copolymer, Sorbitan lsostearate, Polyglycery-10 Myristate, Madecassic Acid, Asiaticoside, Phytosphingosine, Aslatic Acid, Sucrose Distearate, Polyglutamnic Acid, Glucose, Lauric Acid, Phytosterols",98.10%,"3,035"
TIRTIR,TIRTIR - Milk Skin Toner Jumbo,US$ 19.00,,"Water, Glycerin, Butylene Glycol, Niacinamide, Anthemis Nobilis Flower Extract, 1,2-Hexanediol, Caprylyl Glycol, Oryza Sativa (Rice) Bran Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Camellia Sinensis Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Centella Asiatica Extract, Chamomilla Recutita (Matricaria) Flower Extract, Hamamelis Virginiana (Witch Hazel) Extract, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Betaine, Panthenol, Allantoin, Sodium PCA, Adenosine, Disodium EDTA, Sodium Hyaluronate, Carbomer, Arginine, Illicium Verum (Anise) Fruit Extract, Alchemilla Vulgaris Extract, Amaranthus Caudatus Extract, Olea Europaea (Olive) Leaf Extract, Veronica Officinalis Extract, Mentha Piperita (Peppermint) Leaf Extract, Ulmus Davidiana Root Extract, Cynara Scolymus (Artichoke) Leaf Extract, Avena Sativa (Oat) Kernel Extract, Sambucus Nigra Flower Extract, Beta-Glucan, Ceramide NP, Chamaecyparis Obtusa Leaf Extract, Laminaria Japonica Extract, Copper Tripeptide-1, Acetyl Hexapeptide-8",96.20%,"2,997"
KSECRET,KSECRET - SEOUL 1988 Eye Cream : Retinal Liposome 4% + Fermented Bean,US$ 15.40,"Lift under-eye bags and wrinkles with this powerful eye cream formulated with 4% retinal liposome along with soybean ferment extract. Bakuchiol, Vitamin C, Vitamin E and three peptides brighten skin and boost elasticity for anti-wrinkle effects. Packed with five herbal root extracts and five fermented plant extracts for antioxidant benefits. Suitable for all skin types, especially mature skin.","Water, Glycerin, Dipropylene Glycol, Caprylic/Capric Triglyceride, 1,2-Hexanediol, Butylene Glycol Dicaprylate/Dicaprate, Niacinamide, Pentaerythrityl Tetraethylhexanoate, Cetearyl Alcohol, Butylene Glycol, Cetearyl Olivate, Sorbitan Olivate, Hydrogenated Lecithin, Macadamia Ternifolia Seed Oil, Carbomer, Tromethamine, Propanediol, Glyceryl Stearate, Cholesterol, Polyglyceryl-10 Oleate, Ethylhexylglycerin, Adenosine, Brassica Campestris (Rapeseed) Sterols, Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate, Retinal, Silica, Disodium EDTA, Aluminum/Magnesium Hydroxide Stearate, Lactobacillus/Panax Ginseng Root Ferment Filtrate, Lactobacillus/Rice Ferment, Lactobacillus/Soybean Ferment Extract, Saccharomyces/Coix Lacryma-Jobi Ma-yuen Seed Ferment Filtrate, Saccharomyces/Potato Extract Ferment Filtrate, Tocopherol, Potassium Cetyl Phosphate, Pentaerythrityl Tetra-di-t-Butyl Hydroxyhydrocinnamate, Sodium Hyaluronate, Arctium Lappa Root Extract, Cnidium Officinale Root Extract, Dioscorea Japonica Root Extract, Paeonia Suffruticosa Root Extract, Rehmannia Chinensis Root Extract, 3-O-Ethyl Ascorbic Acid, Bakuchiol, sh-Oligopeptide-1, sh-Oligopeptide-2, sh-Polypeptide-1",98.30%,72
Purito SEOUL,Purito SEOUL - Wonder Releaf Centella Serum Unscented,US$ 16.10,"Formerly the Centella Unscented Serum, this newly repackaged version of PURITO’s beloved formula is infused with cica extract for soothing irritation as well as allantoin and peptides for skin-revitalizing boosts. The vegan-friendly formula suits all skin types including sensitive skin. The clinically tested product is fragrance-free.","Water, Glycerin, Dipropylene Glycol, Propanediol, Centella Asiatica Extract, Butylene Glycol, Niacinamide, 1,2-Hexanediol, Sodium Hyaluronate, Panthenol, Madecassoside, Asiaticoside, Madecassic Acid, Asiatic Acid, Centella Asiatica Callus Extracellular Vesicles, Allantoin, Palmitoyl Tetrapeptide-7, Palmitoyl Hexapeptide-12, Palmitoyl Tripeptide-1, Palmitoyl Dipeptide-10, Carbomer, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Hydrolyzed Jojoba Esters, Tromethamine, Ethylhexylglycerin, Xanthan Gum, Dipotassium Glycyrrhizate, Adenosine, Disodium EDTA, Sucrose Stearate, Glyceryl Stearate, Hydrogenated lecithin, Polyglyceryl-10 Stearate, Ceramide NP, Camellia Sinensis Leaf Extract, Pancratium Maritimum Extract",96.30%,"3,668"
SKIN 1004,SKIN 1004 - Madagascar Centella Travel Kit,US$ 21.89,"Infused with centella asiatica extract, the five travel-sized products in this portable kit soothe and nourish all skin types during long trips and sleepovers. Gentle yet strong in cleansing power, the Ampoule Foam rids all impurities without drying out skin. The Toning Toner replenishes and brightens skin by gently removing dead skin cells. The Ampoule contains 100% centella asiatica extract that fortifies the skin barrier. Formulated with EWG-certified green grade ingredients only, the Soothing Cream locks in moisture while leaving skin refreshed. The Light Cleansing Oil provides deep cleansing to melt down heavy makeup and sunscreen.","[Ampoule Foam] Centella Asiatica Extract, Sodium Cocoyl Isethionate, Glycerine, Purified Water, Sodium Methyl Cocoyl Taurate, Coco-Betaine, Poteassium Cocoyl Glycinate, 1,2-Hexanediol, Sodium Chloride, Potassium Cocoate, Potassium Benzoate, Polyquaternium-67, Citric Acid, Dextrin, Sodium Bicarbonate, Cacao Extract, Disodium EDTA, Sodium Acetate, Butylene Glycol, Coptis Chinensis Root Extract, Sodium Hyaluronate, Eclipta Extact, Coccinia Indica Fruit Extract [Toning Toner] Centella Asiatica Extract (84%), Purified Water, Dipropylene Glycol, 1,2-Hexandiol, Niacinamide, Glu/conoractone, Thrometamine, Carbomer, Sodium Citrate, Adenosine, Disodium EDTA, Dipotacium Glycide, Betaine, Hyaluronic Acid, Ethylhexyglycerin [Ampoule] Centella Asiatica (Gotu Kola) Extract 100% [Soothing Cream] Centella Asiatica Extract (72%), Glycerin, Propanediol, Dipropylene Glycol, Cyclomethicone, Water, 1,2-Hexanediol, Trehalose, Caprylyl Methicone, C12-14 Pareth-12, Carbomer, Tromettaurate, Ammonium Acryolymer , C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Xanthan Gum, Mentha Piperita (Peppermint) Leaf Extract, Zingiber Officinale (Ginger) Root Extract, Butylene Glycol, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Tranexamic Acid, Coptis Chinensis Root Extract, Theobroma Cacao (Cocoa) Extract, Dextrin, Leuconostoc / Radish Root Ferment Filtrate, Biosaccharide Gum-1, Disodium Hyaluronate, Beta-Glucan, Ceramide EOP, Ceramide NS, Ceramide NP, Ceramide AP, Phytosphingosine, Hydrogenated Lecithin, Cetearyl Alcohol, Stearic Acid, Cholesterol [Light Cleansing Oil] Ethylhexyl Stearate, Cetyl Ethylhexanoate, Sorbeth-30 Tetraoleate, Centella Asiatica Extract, Helianthus Annuus (Sunflower) Seed Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Olea Europaea (Olive) Fuit Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Ethylhexylglycerin, Pelargonium Graveolens Flower Oil, Rosa Damascena Flower Oil",98.10%,"1,881"
SKIN 1004,SKIN 1004 - Madagascar Centella Probio-Cica Enrich Cream,US$ 15.00,"This cream is infused with centella asiatica extract to reduce inflammation and calm irritation. Blended with lactobacillus, the formula strengthens a damaged skin barrier and smooths uneven skin texture to reveal a soft and healthy appearance. Formulated with macadamia ternifolia seed oil and moringa oleifera seed oil, the cream moisturizes dry skin. Fragrance-free formula is safe to use on sensitive skin.","Centella Asiatica Extract, Glycerin, Diglycerin, 1,2-Hexanediol, Butylene Glycol, Niacinamide, Water, Polyglyceryl-3 Distearate, Caprylic/Capric Triglyceride, Neopentyl Glycol Diheptanoate, Isostearyl Isostearate, Pentaerythrityl Tetraisostearate, Hydrogenated Poly(C6-14 Olefin), Heptyl Undecylenate, Lactobacillus/Centella Asiatica Extract Ferment Filtrate, Bis-Diglyceryl Polyacyladipate-2, Glyceryl Stearate, C14-22 Alcohols, Cetearyl Alcohol, Butyrospermum Parkii (Shea) Butter, Polyglyceryl-2 Stearate, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glyceryl Stearate Citrate, Arginine, Stearyl Alcohol, Polyisobutene, C12-20 Alkyl Glucoside, Squalane, Sodium Surfactin, Sodium Polyacrylate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Carbomer, Hydroxystearic Acid, Ethylhexylglycerin, Adenosine, Hydrogenated Lecithin, Sorbitan Oleate, Caprylyl/Capryl Glucoside, Macadamia Ternifolia Seed Oil, Sodium Hyaluronate, Moringa Oleifera Seed Oil, Sodium Phytate, Ceramide NP, Dextrin, Theobroma Cacao (Cocoa) Extract, Glyceryl Acrylate/Acrylic Acid Copolymer, Polyglyceryl-10 Myristate, Glucose, Stearic Acid, Phytosphingosine, Madecassic Acid, Asiaticoside, Sucrose Distearate, Asiatic Acid, Lauric Acid, Phytosterols, Polyglutamic Acid",98.10%,"2,470"
Abib,Abib - Collagen Eye Patch Jericho Rose Jelly,US$ 18.40,"Revive tired eyes and reduce puffiness with this eye patch. Packed with vegan collagen, shea butter and peptide, each hydrogel patch leaves the eye area glowing and firm. Boosted with hyaluronic acid, caffeine and ceramide to rejuvenate, energize and hydrate skin.","Water, Glycerin, Niacinamide, Chondrus Crispus Powder, Collagen Extract, 1,2-Hexanediol, Betaine, Ceratonia Siliqua (Carob) Gum, Cyamopsis Tetragonoloba (Guar) Gum, Hydroxyacetophenone, Chondrus Crispus, Calcium Chloride, Allantoin, Butyrospermum Parkii (Shea) Butter, Propanediol, Polyglyceryl-10 Laurate, Polyglyceryl-3 Methylglucose Distearate, Potassium Chloride, Anastatica, Hierochuntica Extract, Cellulose Gum, Ricinus Communis (Castor) Seed Oil, Trehalose, Sucrose, Caprylyl Glycol, Adenosine, Ethylhexylglycerin, Dipotassium Glycyrrhizate , Sodium Hyaluronate, Caffeine, Panthenol, Ceramide NP, Palmitoyl Tripeptide-5",97.60%,"1,053"
mixsoon,mixsoon - Centella Cleansing Foam,US$ 12.60,"This cleansing foam is anchored in 32.8% cica extract for soothing irritation, salicylic acid for pore care as well and sea algae extract for deep hydration. Lightweight formula is a must-have for anyone with easily irritated skin.","Water, Sodium Cocoyl Isethionate, Glycerin, Hydroxypropyl Starch Phosphate, Sodium Methyl Cocoyl Taurate, Propanediol, Potassium Cocoyl Glycinate, Acrylates Copolymer, Cetearyl Alcohol, Potassium Cocoate, Sorbitan Olivate, Salicylic Acid, Glycol Distearate, Glyceryl Stearate, Citric Acid, Caprylyl Glycol, Butylene Glycol, 1,2-Hexanediol, Glyceryl Caprylate, Centella Asiatica Extract, Disodium EDTA",97.80%,852
EQQUALBERRY,EQQUALBERRY - Bakuchiol Plumping Serum,US$ 22.49,"This serum features bakuchiol (a natural alternative to retinol) and allantoin to promote collagen production and diminish signs of aging. It’s enriched with five types of ceramides and various peptides to reinforce the skin barrier, lock in moisture and protect skin against external aggressors. The serum also contains niacinamide and glycerin to balance oil and moisture levels while minimizing enlarged pores.","Water, Butylene Glycol, Glycerin, Cetyl Ethylhexanoate, 1,2-Hexanediol, Niacinamide, Hydrogenated Lecithin, Pentaerythrityl Tetrabehenate, Diethoxyethyl Succinate, Betaine, Ceramide NP, Melia Azadirachta Flower Extract, Hydroxyethyl Urea, Bakuchiol, Cetearyl Alcohol, Squalane, Coccinia Indica Fruit Extract, Panthenol, Carbomer, Butyrospermum Parkii (Shea) Butter, Tromethamine, Xanthan Gum, Allantoin, Ethylhexylglycerin, 2,3-Butanediol, Adenosine, Disodium Edta, Lavandula Angustifolia (Lavender) Oil, Sodium Carboxymethyl Beta-Glucan, Glyceryl Stearate, Dipropylene Glycol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Sodium Hyaluronate, Rubus Fruticosus (Blackberry) Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Sambucus Nigra Fruit Extract, Sodium Lactate, Polyglyceryl-10 Laurate, Ceramide NS, Ceramide AS, Ceramide AP, Cholesterol, Salvia Officinalis (Sage) Oil, Polysorbate 20, Octyldodecanol, Polyglyceryl-4 Caprate, Methylpropanediol, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hyaluronic Acid, Hydroxypropyltrimonium Hyaluronate, Potassium Hyaluronate, Astaxanthin, Pentylene Glycol, Sodium Hyaluronate Crosspolymer, Palmitoyl Tripeptide-1, Soluble Collagen, Sodium Acetylated Hyaluronate, Copper Tripeptide-1, Palmitoyl Tetrapeptide-7, Oligopeptide-32, Oligopeptide-29, Acetyl Hexapeptide-8, Ceramide Eop, Acetyl Tetrapeptide-2, Acetyl Tetrapeptide-3, Acetyl Octapeptide-3, Palmitoyl Pentapeptide-4, Oligopeptide-6, Hexapeptide-9, Nonapeptide-1, Limonene, Linalool",97.10%,154
haruharu wonder,haruharu wonder - Black Rice Moisture 5.5 Soft Cleansing Gel,US$ 11.90,"Amp up cleansing routines with this skin-purifying gel cleanser! Mildly acidic formula rich in coconut-derived surfactants ensures thorough removal of dirt, dead skin cells and impurities, while additional ingredient of fermented black rice extract keeps skin plumped-up and hydrated. Lathers up into a fine, non-irritating foam that is gentle on sensitive skin or those with a delicate skin barrier.","Water, Glycerin, Coco-Betaine, Propanediol, Pentylene Glycol, Sodium Chloride, 1,2-Hexanediol, Xanthan Gum, Hydroxyethylcellulose, Potassium Cocoyl Glycinate, Potassium Cocoate, Oryza Sativa (Rice) Extract, Phyllostachys Pubescens Shoot Bark Extract, Panax Ginseng Root Extract, Aspergillus Ferment Extract Filtrate, Beta-Glucan, Butylene Glycol, Trehalose, Citric Acid, Cyclodextrin, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract, Ethylhexylglycerin",96.90%,"1,740"
